metric_id,store_id,year,month,total_sales,total_customers,avg_daily_sales,max_daily_sales,promo_days,promo_sales_lift,open_days
1,332,2013,6,83294.00,11660,3331.76,5053.00,10,49.74,25
2,1015,2015,4,156067.00,12285,6502.79,10497.00,11,50.83,24
3,374,2014,7,181137.00,21063,6708.78,9819.00,13,42.23,27
4,973,2014,3,161691.00,19824,6218.88,13582.00,11,57.45,26
5,242,2013,10,95885.00,9081,3687.88,8083.00,10,73.19,26
6,719,2013,8,154290.00,13417,5934.23,8455.00,11,27.51,26
7,422,2013,1,105621.00,11315,4062.35,5116.00,10,24.01,26
8,628,2015,2,144343.00,17903,6014.29,10324.00,10,34.48,24
9,733,2013,2,394042.00,93593,14072.93,17395.00,10,14.91,28
10,43,2015,2,142425.00,13183,5934.38,8403.00,10,41.07,24
11,959,2014,9,176640.00,19190,6793.85,10926.00,12,55.03,26
12,643,2013,6,185217.00,24222,7408.68,10812.00,10,39.14,25
13,21,2013,5,122331.00,12277,5318.74,8388.00,11,54.33,23
14,109,2014,5,157860.00,18584,6314.40,9264.00,11,23.96,25
15,827,2013,11,310756.00,38887,11952.15,18408.00,10,0.60,26
16,893,2015,6,166458.00,20141,6658.32,9431.00,11,38.36,25
17,482,2014,11,218651.00,23544,8746.04,13570.00,15,2.08,25
18,572,2014,6,170997.00,13870,7434.65,15445.00,10,69.80,23
19,851,2014,3,151202.00,13347,5815.46,8077.00,11,9.64,26
20,120,2013,12,198628.00,17263,8276.17,12991.00,10,47.50,24
21,440,2013,10,127758.00,15273,4913.77,7153.00,10,36.57,26
22,917,2013,6,162276.00,18293,6491.04,10002.00,10,47.89,25
23,67,2013,2,172832.00,18087,7201.33,11786.00,10,54.88,24
24,826,2015,1,227568.00,19633,8752.62,13245.00,15,37.42,26
25,869,2014,12,188705.00,24852,7548.20,14545.00,10,71.48,25
26,95,2014,9,201615.00,21989,7754.42,13518.00,12,62.96,26
27,464,2014,2,233410.00,28868,9725.42,13738.00,10,14.98,24
28,1106,2013,8,136254.00,16539,5046.44,7765.00,12,27.96,27
29,535,2013,3,208064.00,23785,8322.56,13853.00,14,70.65,25
30,809,2013,3,243537.00,21054,9741.48,15936.00,14,74.38,25
31,317,2015,2,120930.00,13279,5038.75,6658.00,10,10.56,24
32,761,2014,9,217614.00,25513,8369.77,13939.00,12,53.88,26
33,227,2015,6,170099.00,14718,6803.96,10681.00,11,56.69,25
34,1040,2014,5,218104.00,21637,8724.16,13947.00,11,44.86,25
35,383,2014,4,436754.00,56005,18198.08,23380.00,11,29.24,24
36,1025,2013,9,177428.00,20878,7097.12,10325.00,10,26.41,25
37,399,2013,10,132022.00,14140,5077.77,7688.00,10,27.27,26
38,1026,2014,11,254563.00,30091,10606.79,15750.00,15,47.72,24
39,786,2013,11,97926.00,15457,3766.38,6798.00,10,66.25,26
40,489,2013,5,174236.00,16040,7259.83,11150.00,12,78.43,24
41,441,2014,12,191935.00,19794,7677.40,10704.00,10,19.34,25
42,531,2014,7,123301.00,15219,4566.70,5934.00,13,21.20,27
43,425,2015,6,89476.00,11373,3579.04,5557.00,11,57.79,25
